ID,Starting URL,Category,Task
49,https://www.allrecipes.com,CREATE,"Log in and submit a new original recipe titled ""Spicy Mango Salsa"" including a list of ingredients and step-by-step instructions.
Only use http://allrecipes.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
50,https://www.allrecipes.com,CREATE,"Log in to your account, create a new collection titled ""Weekend Baking"" and add at least 3 dessert recipes to it.
Only use http://allrecipes.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
51,https://www.allrecipes.com,CREATE,"Log in, write a detailed review for the ""Lemon Chicken Orzo Soup"" recipe including a 5-star rating and your comments on taste and presentation.
Only use http://allrecipes.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
52,https://www.allrecipes.com,CREATE,"Log in, post a review on a grilled salmon recipe describing your success in using a homemade marinade, and rate it with 5 stars.
Only use http://allrecipes.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
53,https://www.allrecipes.com,CREATE,"Log in and extract the ingredients for the ""Taco Salad"" recipe to create a shopping list.
Only use http://allrecipes.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
54,https://www.allrecipes.com,CREATE,"Log in, write a brief tip as a review on the ""Best Brownies"" recipe suggesting an alternative baking time, and rate the recipe with 5 stars.
Only use http://allrecipes.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
55,https://www.allrecipes.com,CREATE,"Log in to your account, go to ""Add a Recipe"" section, and submit an adapted version of the classic ""Meatloaf"" recipe with healthier ingredient substitutions.
Only use http://allrecipes.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
56,https://www.allrecipes.com,CREATE,"Log in, create a new recipe collection titled ""Quick Weeknight Dinners"" and populate it with 5 chosen recipes.
Only use http://allrecipes.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
57,https://www.allrecipes.com,CREATE,"Log in, write a review for an ""Avocado Toast"" recipe, commenting on its nutritional information display and taste, and rate it with 5 stars.
Only use http://allrecipes.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
58,https://www.allrecipes.com,CREATE,"Log in and share your cooking experience on the ""Ultimate Pancake"" recipe page, detailing how you customized it, then rate the recipe with 5 stars.
Only use http://allrecipes.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
59,https://www.allrecipes.com,CREATE,"Log in to your account and submit your own original recipe for ""Cinnamon Roll Muffins"" with clear step-by-step instructions.
Only use http://allrecipes.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
60,https://www.allrecipes.com,CREATE,"Log in, write a recipe variation comment on the ""Classic Caesar Salad"" recipe outlining your suggestion for a vegan dressing alternative, and rate the recipe with 5 stars.
Only use http://allrecipes.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
61,https://www.allrecipes.com,CREATE,"Log in to your allrecipes account and sign up to their Newsletter.
Only use http://allrecipes.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
62,https://www.allrecipes.com,DELETE,"Log in, save the ""Best Brownies"" recipe to your Saved Recipes, then go to your Saved Recipes page and remove the recipe that you previously saved.
Only use http://allrecipes.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
68,https://www.allrecipes.com,UPDATE,"Log in, write a review on the ""Classic Caesar Salad"" recipe suggesting a vegan dressing alternative, and rate the recipe with 5 stars. Then, go to your review and edit it to to specify a preferred brand of vegan dressing.
Only use http://allrecipes.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
69,https://www.alltrails.com,CREATE,"Log in to your account and create a custom list titled ""Weekend Trails,"" then add the ""Lake Loop"" trail to this list.
Only use http://alltrails.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
