index,task,url,source,functional_category,profile,actions
lH6Wm01-tqjwC26s_TCW_,"Search and book the cheapest daytime only monthly parking option in Seattle near Stripe, 5th Avenue in spothero",https://spothero.com,mind_2_web_train,navigation_geospatial,information_reference_platform,"['create_booking']"
zZlS3taTzRyPq-m4lWHCK,Check the order status using an order number of24124124091. The email address is boobear@gmail.com in apple,https://secure4.store.apple.com,mind_2_web_train,other,information_reference_platform,"['track_order']"
rDvi1c_KyOQRqvEOaoN9g,Book an hourly parking at Atlanta International Airport in spothero,https://spothero.com,mind_2_web_train,navigation_geospatial,information_reference_platform,"['create_booking']"
G9loIxEGp65LZuukhMp9Z,Open the list of reviews I wrote about my games in store.steampowered,https://steamcommunity.com,mind_2_web_train,other,information_reference_platform,"['view_dashboard']"
FJhgPij4tIeKSS_rBJ1qC,"Add a blue iPad to your cart and select the option for free engraving with ""hello world"" with no other accessaries in apple",https://www.apple.com,mind_2_web_train,other,information_reference_platform,"['add_to_cart']"
rUyFGVLAMz748JXIqLlqE,Add Pro Display XDR with nano texture to bag with all the accessories on apple,https://www.apple.com,mind_2_web_test,other,information_reference_platform,"['add_to_cart']"
v5stCvJH8fYQhg1gqTxc8,Book the cheapest parking spot near Bradley Airport on spothero,https://spothero.com,mind_2_web_test,navigation_geospatial,information_reference_platform,"['create_booking']"
Apple--9,"Check the Apple Store for the availability of the latest iPhone model and schedule an in-store pickup at the nearest Apple Store for January 10, 2024.",https://www.apple.com,web_voyager,other,information_reference_platform,"['checkout']"
Google Flights--0,Book a journey with return option on same day from Edinburg to Manchester on December 28th and show me the lowest price option available.,https://www.google.com/travel/flights,web_voyager,navigation_geospatial,information_reference_platform,"['create_booking']"
Google Flights--20,"Book a round-trip flight from San Francisco to Berlin, departing on March 5, 2024, and returning on March 12, 2024, and find the option with the shortest total travel time.",https://www.google.com/travel/flights,web_voyager,navigation_geospatial,information_reference_platform,"['create_booking']"
Google Map--13,"Find a parking lot in Gloucester and book a ride from there to North Plymouth, view the map to understand the route better.",https://www.google.com/maps,web_voyager,navigation_geospatial,information_reference_platform,"['create_booking']"
87,"Create a note in your APA account’s personal collection by saving the APA Style guidelines summary and tagging it as “Reference.”
Only use http://apa.org to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://www.apa.org,webbench_education,knowledge_reference,information_reference_platform,"['add_to_list']"
88,"Subscribe to the APA weekly newsletter by entering your email address on the subscription form available on the homepage.
Only use http://apa.org to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://www.apa.org,webbench_education,knowledge_reference,information_reference_platform,"['subscribe']"
89,"Build a personal reading list in your APA account by adding three selected articles from the psychology research section, ensuring at least one article is from PsycARTICLES.
Only use http://apa.org to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://www.apa.org,webbench_education,knowledge_reference,information_reference_platform,"['add_to_list']"
95,"Access your profile settings and update your mailing address to 92 2nd Ave, New York, New York, 10003.
Only use http://apa.org to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://www.apa.org,webbench_education,knowledge_reference,information_reference_platform,"['update_address_and_payment']"
96,"Modify your APA account’s newsletter preferences to switch from bi-weekly updates to monthly summaries.
Only use http://apa.org to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://www.apa.org,webbench_education,knowledge_reference,information_reference_platform,"['update_notification_settings']"
907,"Log in to jagranjosh.com and subscribe to the newsletter for current affairs updates by entering your email and mobile number.
Only use http://jagranjosh.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://www.jagranjosh.com,webbench_education,knowledge_reference,information_reference_platform,"['subscribe']"
908,"Submit feedback through the website’s contact form regarding the layout of the new exam guide section.
Only use http://jagranjosh.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://www.jagranjosh.com,webbench_education,knowledge_reference,information_reference_platform,"['send_message']"
909,"Create a personalized study plan by bookmarking three exam preparation articles to your favorites list.
Only use http://jagranjosh.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://www.jagranjosh.com,webbench_education,knowledge_reference,information_reference_platform,"['add_to_list']"
910,"Register for exam alerts by filling out the subscription form with your contact details, ensuring you select both email and SMS notifications.
Only use http://jagranjosh.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://www.jagranjosh.com,webbench_education,knowledge_reference,information_reference_platform,"['subscribe']"
