ID,Starting URL,Category,Task
484,https://www.facebook.com,CREATE,"Log in to Facebook and create a new post on your timeline with the text “Hello World! Excited to connect with everyone!”
Only use http://facebook.com/ to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
485,https://www.facebook.com,CREATE,"Log in, write a status update on your profile praising your favorite local business and share a community news tip.
Only use http://facebook.com/ to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
486,https://www.facebook.com,CREATE,"Log in, create an event titled “Neighborhood Clean-Up” with a specific date, location, and a brief description, then publish it.
Only use http://facebook.com/ to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
487,https://www.facebook.com,CREATE,"Log in, write a multi-line post listing your top five favorite movies and tag each movie title.
Only use http://facebook.com/ to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
488,https://www.facebook.com,CREATE,"Log in and set up a new Facebook Page for a fictitious business called “Eco-Groceries” complete with a short business description.
Only use http://facebook.com/ to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
489,https://www.facebook.com,CREATE,"Log in and compose a post that includes a text caption promoting a local art exhibition along with a clickable link for more details.
Only use http://facebook.com/ to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
490,https://www.facebook.com,CREATE,"Log in, create a post introducing your new pet with a short story about how you found them, and add the feeling ""blessed"" before publishing your post.
Only use http://facebook.com/ to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
491,https://www.facebook.com,CREATE,"Log in, craft a post asking your network for recommendations on local weekend events and list a couple of examples to start the conversation.
Only use http://facebook.com/ to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
492,https://www.facebook.com,CREATE,"Log in, use Facebook's search feature to look for the public profile of ""Mark Zuckerberg"", and then like his most recent post.
Only use http://facebook.com/ to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
493,https://www.facebook.com,CREATE,"Log in, find the public profile of ""Taylor Swift"" using Facebook search, and leave the comment ""Nice photo!"" on her profile picture.
Only use http://facebook.com/ to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
494,https://www.facebook.com,CREATE,"Log in, go to the Friends section, and add the first five people from the Suggestions list.
Only use http://facebook.com/ to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
495,https://www.facebook.com,CREATE,"Log in, go to the Videos section to see Reels, and save the first reel that will appear on the page.
Only use http://facebook.com/ to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
496,https://www.facebook.com,DELETE,"Log in to Facebook, create a post with the text “Test Post,” then delete it immediately and confirm its removal from your timeline.
Only use http://facebook.com/ to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
502,https://www.facebook.com,UPDATE,"Log in and navigate to your profile’s About section to update your contact information by adding your new phone number.
Only use http://facebook.com/ to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
503,https://www.facebook.com,UPDATE,"Log in, create a new post on your timeline, publish it, then go to the post and edit the audience from “Friends” to “Public”.
Only use http://facebook.com/ to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
504,https://www.facebook.com,UPDATE,"Log in, locate the public profile of Taco Bell, submit a comment on their most recent post, and edit the comment you posted by adding an emoji.
Only use http://facebook.com/ to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1037,https://www.livejournal.com,CREATE,"Create an account and Log in to your LiveJournal account and create a new public journal entry titled ""My First Entry"" that includes a paragraph describing your favorite hobby.
Only use http://livejournal.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1038,https://www.livejournal.com,CREATE,"Write a new journal entry titled ""Tech Trends 2024"" that incorporates an external link to a recent technology article along with your commentary.
Only use http://livejournal.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1039,https://www.livejournal.com,CREATE,"Create a private draft journal entry titled ""Secret Project"" and include at least two bullet points outlining your project ideas.
Only use http://livejournal.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1040,https://www.livejournal.com,CREATE,"Create a new poll within a journal post asking ""What’s your favorite season?"" with the options: ""Spring,"" ""Summer,"" ""Fall,"" and ""Winter.""
Only use http://livejournal.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1041,https://www.livejournal.com,DELETE,"Log in, create a temporary journal entry titled ""Temporary Post,"" then delete this entry and confirm that it no longer appears on your journal.
Only use http://livejournal.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1042,https://www.livejournal.com,DELETE,"Post a comment on one of your own journal entries and subsequently delete that comment, verifying its removal from the post.
Only use http://livejournal.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1043,https://www.livejournal.com,DELETE,"Login, create a friends list and add 3 individuals, then from your friends list, remove a specific friend by selecting their profile and confirming their deletion from your contact list.
Only use http://livejournal.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1048,https://www.livejournal.com,UPDATE,"Change the privacy setting of one of your journal entries from public to friends-only and verify that the visibility update is correctly applied.
Only use http://livejournal.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1049,https://www.livejournal.com,UPDATE,"Access your profile settings and update your bio with a brief description of your interests and hobbies.
Only use http://livejournal.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1050,https://www.livejournal.com,UPDATE,"Log in and create a journal entry and schedule send it for 12 hours later. Then modify a scheduled journal entry by changing its posting time to an earlier hour on the same day as originally planned.
Only use http://livejournal.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1051,https://www.livejournal.com,UPDATE,"Navigate to your notification settings and update them so that you only receive alerts for comments and private messages.
Only use http://livejournal.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1338,https://www.pinterest.com,CREATE,"Log in to your Pinterest account, create a new board titled ""Weekend DIY Projects,"" and add a description about weekend home improvement ideas.
Only use http://pinterest.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1339,https://www.pinterest.com,CREATE,"Log in to your account, create a board called Healthy Recipes, and add a new pin to your ""Healthy Recipes"" board with a note.
Only use http://pinterest.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1340,https://www.pinterest.com,CREATE,"Log in, find a pin about mexican dish recipes, like and add a comment complementing the post. 
Only use http://pinterest.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1341,https://www.pinterest.com,CREATE,"Log in and create a mood board titled ""Room Makeover 2025,"" then organize it into three sections: ""Color Palette,"" ""Furniture,"" and ""Decor.""
Only use http://pinterest.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1342,https://www.pinterest.com,CREATE,"Log in and create a board called ""Weekly Meal Prep,"" enable collaborative features, then send copy and return the invite link
Only use http://pinterest.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1343,https://www.pinterest.com,DELETE,"Log in, create a temporary board titled ""Test Board,"" add a pin to it, and then delete the board after verifying its creation.
Only use http://pinterest.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1344,https://www.pinterest.com,DELETE,"Log in, create a ""healthy recipes"" board, add a pin for a healthy chicken recipe, and remove the same pin. Confirm that the pin has been removed.
Only use http://pinterest.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1345,https://www.pinterest.com,FILE_MANIPULATION,"Find a pin related to Easy DIY home projects and download the image of the pin
Only use http://pinterest.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1351,https://www.pinterest.com,UPDATE,"Log in, create a ""Travel Destinations 2023"" board, and update its privacy settings to make it private.
Only use http://pinterest.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1835,https://www.tiktok.com/explore,DELETE,"Log in, comment ""test 1, test 2, test 3"" on a Charli D'amelio video, and delete it to ensure it is removed from the discussion thread.
Only use http://tiktok.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1841,https://www.tiktok.com/explore,UPDATE,"Access your profile settings and update your bio to add a link to your personal blog, ""www.testblog.com"" along with a brief introduction.
Only use http://tiktok.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1842,https://www.tiktok.com/explore,UPDATE,"Sign in to your account and change your privacy settings so that only “Friends Only” can comment on your posts.
Only use http://tiktok.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
2180,https://x.com,CREATE,"Log in, post a new text update stating ""Excited about the new API launch!"" with the hashtag ""#APILaunch"" and verify that it appears on your timeline.
Only use http://x.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
2181,https://x.com,CREATE,"Log in and compose a post with an embedded poll asking ""Which tech innovation will dominate 2023: AI, Blockchain, or IoT?"" including options for each.
Only use http://x.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
2182,https://x.com,CREATE,"Log in, write a status update highlighting customer service improvements for ""FutureTech Support"" and tag the support handle.
Only use http://x.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
2183,https://x.com,CREATE,"Log in and schedule a text post for tomorrow promoting an upcoming webinar on ""Social Media Trends"" via the scheduling interface.
Only use http://x.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
2184,https://x.com,CREATE,"Log in, open one trending topic, and bookmark the first 3 posts from the results.
Only use http://x.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
2185,https://x.com,CREATE,"Log in, and compose a post discussing the benefits of API integration for small businesses in a concise format.
Only use http://x.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
2186,https://x.com,CREATE,"Log in, create a group in Messages by inviting at least 5 members, and then send the text ""Hello"" as a test.
Only use http://x.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
2187,https://x.com,CREATE,"Log in and publish a short testimonial highlighting your positive experience with ""TechSolutions"" customer support.
Only use http://x.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
2188,https://x.com,DELETE,"Log in to your account, post a status saying, ""Hello World!"", then delete the post ensuring it no longer appears in your profile.
Only use http://x.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
2194,https://x.com,UPDATE,"Log in to your account and edit your profile bio to include the text ""InnovateX – Leading Innovation.""
Only use http://x.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
2195,https://x.com,UPDATE,"Log in to your account and update your display name from your current username to ""TechGuru.""
Only use http://x.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
2196,https://x.com,UPDATE,"Log in to your account, navigate to the notification settings, and change your email notifications preference to weekly updates.
Only use http://x.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
2197,https://x.com,UPDATE,"Log in to your profile settings and modify your privacy settings to protect your posts, making them only visible to people who follow you.
Only use http://x.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
