ID,Starting URL,Category,Task
36,https://www.aliexpress.us/?gatewayAdapt=glo2usa&_randl_shipto=US,CREATE,"Search for 'Bluetooth speakers', filter to only show items shipped from USA, and then find my one with 4.0+ review score and bluetooth 5.0. Add it to my cart.
Only use http://aliexpress.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
37,https://www.aliexpress.us/?gatewayAdapt=glo2usa&_randl_shipto=US,CREATE,"Go to Coupon Center and collect 1 coupon for my account, then confirm its been added to the profile.
Only use http://aliexpress.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
38,https://www.aliexpress.us/?gatewayAdapt=glo2usa&_randl_shipto=US,CREATE,"Redeem a coupon code that gives discounts for orders over a certain amount. Then add items to the cart until there is enough total cost to redeem the coupon, and apply it to the total cart price. Return the final price of the shoppingcart.
Only use http://aliexpress.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
39,https://www.aliexpress.us/?gatewayAdapt=glo2usa&_randl_shipto=US,CREATE,"Change my default shipping address to 92 2nd Ave, New York, New York
Only use http://aliexpress.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
40,https://www.aliexpress.us/?gatewayAdapt=glo2usa&_randl_shipto=US,CREATE,"Search up a highly ranked woman's wool sweater, and message the seller asking if they do custom sizing for their sweaters.
Only use http://aliexpress.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
123,http://www.barnesandnoble.com,CREATE,"Create an account and create a new wishlist titled ""Summer Reads 2025"" and add three selected physical books to it.
Only use http://barnesandnoble.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
124,http://www.barnesandnoble.com,CREATE,"Write and submit a review for the digital version of ""1984"" by George Orwell, including a star rating and a detailed comment.
Only use http://barnesandnoble.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
125,http://www.barnesandnoble.com,DELETE,"Log in, add the physical book ""To Kill a Mockingbird"" to your wishlist, then remove it and verify its deletion.
Only use http://barnesandnoble.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
126,http://www.barnesandnoble.com,DELETE,"Add Pride and Prejudice to the wishlist, then remove it from the existing wishlist and confirm its removal.
Only use http://barnesandnoble.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
127,http://www.barnesandnoble.com,FILE_MANIPULATION,"Download a free eBook sample from the ""ebooks & Nook"", in mystery category 
Only use http://barnesandnoble.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
133,http://www.barnesandnoble.com,UPDATE,"Log in to your account and update your shipping address to ""123 New Street, Springfield, IL"", then save the changes.
Only use http://barnesandnoble.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
134,http://www.barnesandnoble.com,UPDATE,"Login and create a wishlist titled ""Holiday Gifts"" then update an existing wishlist titled ""Holiday Gifts"" by adding the book ""Educated"" by Tara Westover.
Only use http://barnesandnoble.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
149,https://www.bestbuy.com,CREATE,"Log into your Best Buy account and create a new wishlist titled ""Holiday Shopping,"" then add the ""Sony 65-inch 4K Ultra HD TV"" to that wishlist.
Only use http://bestbuy.com/ to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
150,https://www.bestbuy.com,CREATE,"Write and submit a detailed product review for the ""PS5"" including a star rating and comments on your experience.
Only use http://bestbuy.com/ to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
151,https://www.bestbuy.com,CREATE,"On the ""Sony 75-inch 4K TV"" product page, post a new question in the Q&A section asking, ""Does this TV support VESA wall mounting?""
Only use http://bestbuy.com/ to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
152,https://www.bestbuy.com,DELETE,"Log into your Best Buy account, add the ""Google Nest Hub"" to your wishlist, then remove it and verify that it no longer appears in your saved items.
Only use http://bestbuy.com/ to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
153,https://www.bestbuy.com,DELETE,"Login, post a review for the ""Sony WH-1000XM4,"" and then remove your review for the ""Sony WH-1000XM4"" headphones from the product page, ensuring that the review is no longer visible.
Only use http://bestbuy.com/ to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
154,https://www.bestbuy.com,DELETE,"Add a promotional code to your shopping cart for a discount, then remove the code and verify that the cart total reverts to its original amount.
Only use http://bestbuy.com/ to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
160,https://www.bestbuy.com,UPDATE,"Log into your Best Buy account, add a ""Dell XPS 14"" laptop to your shopping cart, update the quantity to 2, and verify that the total price reflects the change.
Only use http://bestbuy.com/ to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
161,https://www.bestbuy.com,UPDATE,"Update your shipping settings in Best Buy by changing your primary shipping address to New York City, NY 10003. 
Only use http://bestbuy.com/ to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
162,https://www.bestbuy.com,UPDATE,"Log into your account, add an item to your cart, then switch the delivery option from standard shipping to in-store pickup and confirm that the order details update accordingly.
Only use http://bestbuy.com/ to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
279,https://newyork.craigslist.org,CREATE,"Log in, create a new ""housing offered"" listing in the San Francisco region for a one-bedroom apartment for rent at $2200/month, specifying location, move-in date, and lease terms.
Only use http://craigslist.org to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
281,https://newyork.craigslist.org,CREATE,"Log in to Craigslist and create a ""community"" listing in Los Angeles for a found item, including the details of the item and the pick-up location.
Only use http://craigslist.org to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
287,https://newyork.craigslist.org,CREATE,"Log in to Craigslist and create a ""service offered"" post in Dallas advertising professional home cleaning services with clearly listed pricing packages and contact details.
Only use http://craigslist.org to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
288,https://newyork.craigslist.org,CREATE,"Log in and create a ""for sale by owner"" listing in Miami for a used cell phone along with its accessories, detailing the condition, price, and availability.
Only use http://craigslist.org to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
290,https://newyork.craigslist.org,CREATE,"Log in to Craigslist and submit an ""event"" post advertising an upcoming local farmers market event in San Diego, adding the vendor information and an event schedule.
Only use http://craigslist.org to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
291,https://newyork.craigslist.org,CREATE,"Advertise your upcoming book event in Atlanta by logging in to Craigslist and creating an event post; specify your event details, location, and suggested genres.
Only use http://craigslist.org to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
292,https://newyork.craigslist.org,CREATE,"Log in to Craigslist, search for a baby stroller in your area in the ""for sale"" section, and save it to your favorites.
Only use http://craigslist.org to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
293,https://newyork.craigslist.org,CREATE,"Log in to Craigslist, go to your profile, and edit your notifications settings by turning off expiring post alerts.
Only use http://craigslist.org to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
