ID,Starting URL,Category,Task
350,https://www.deviantart.com,CREATE,"Use the DreamUp™ AI art generator to create an artwork with the prompt “Futuristic city with cyberpunk elements” and submit it to your gallery.
Only use http://deviantart.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
351,https://www.deviantart.com,CREATE,"Post a comment on the artwork “Moonlit Sonata” praising its details and artistic style.
Only use http://deviantart.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
352,https://www.deviantart.com,CREATE,"Update your profile’s “About” section by adding a new subsection called “Latest Accomplishments” that mentions your participation in a recent online exhibition.
Only use http://deviantart.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
353,https://www.deviantart.com,CREATE,"Build a new favorites collection titled “Inspiration Board” and add at least 3 artworks from different categories such as digital painting, photography, and fan art.
Only use http://deviantart.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
354,https://www.deviantart.com,DELETE,"Log in to your account, create a temporary artwork submission titled “Test Art,” then delete it from your gallery and verify it no longer appears.
Only use http://deviantart.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
355,https://www.deviantart.com,DELETE,"Log in, add a comment on the artwork ""Moonlit Sonata"", then remove the comment you posted on the artwork “Moonlit Sonata” from your profile, ensuring that the deletion is confirmed.
Only use http://deviantart.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
356,https://www.deviantart.com,FILE_MANIPULATION,"Visit the DeviantArt Help Center, locate the downloadable user guide on profile customization, and download the PDF file ensuring its filename includes “Profile.”
Only use http://deviantart.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
357,https://www.deviantart.com,FILE_MANIPULATION,"Search for downloadable art resources (e.g., brushes or overlays), download a file titled “Digital Art Brushes Pack,” and verify that the downloaded file has a “.zip” extension.
Only use http://deviantart.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
363,https://www.deviantart.com,UPDATE,"Change your notification settings to only receive updates for comments and favorites while filtering out notifications for mentions.
Only use http://deviantart.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
524,https://flickr.com,CREATE,"Log in and create a new album titled ""Autumn Memories,"" then add three existing photos from your photostream to this album.
Only use http://flickr.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
525,https://flickr.com,CREATE,"Create a new gallery titled ""Wildlife Wonders"" by selecting at least 5 public photos from various photographers on Flickr.
Only use http://flickr.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
526,https://flickr.com,CREATE,"Post a comment on a featured photo complimenting the photographer with a message that includes the word ""inspiring.""
Only use http://flickr.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
527,https://flickr.com,CREATE,"Form a new Flickr group focused on ""Street Photography"" by writing a group description, setting it to public, and inviting two other users by username: ""icydoor2"" and ""jacktastic.
Only use http://flickr.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
528,https://flickr.com,CREATE,"Edit the metadata of one of your existing photos to include camera settings and location details in the description.
Only use http://flickr.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
529,https://flickr.com,CREATE,"Curate a collection by selecting 5 public domain photos from Flickr Commons and compiling them into a new album called ""Historical Snapshots.""
Only use http://flickr.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
530,https://flickr.com,CREATE,"Write a reply to an existing comment on a photo, providing constructive feedback in a multi-sentence response.
Only use http://flickr.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
