index,task,url,source,functional_category,profile,actions
FoP8QZ-JiAcVODUHGQj8v,"Buy a single day pass to Six Flags, Magic Mountain in sixflags",https://www.sixflags.com,mind_2_web_train,travel_booking,reservation_service_platform,"['create_booking']"
BFldiHVgJokdXs0UEIbuK,Change the language to UK English and the currency to Euros in thetrainline,https://www.thetrainline.com,mind_2_web_train,travel_booking,reservation_service_platform,['update_user_preferences']
A4-lOKiaLuPDD4VO0MJY6,Book 2 tickets for stand-up comedian Dave Chappelle and the roots shows in ticketcenter,https://www.ticketcenter.com,mind_2_web_train,travel_booking,reservation_service_platform,['create_booking']
jfjr1xGSPsucAuuUEBwCR,Add to my wish list the highest rated activity in Amsterdam on viator,https://www.viator.com,mind_2_web_test,travel_booking,reservation_service_platform,['add_to_list']
Booking--6,"Book one room which provides breakfast, and airport shuttle from Jan 22 to 25 in Los Angeles.",https://www.booking.com,web_voyager,travel_booking,reservation_service_platform,['create_booking']
Booking--11,"Reserve a hotel in downtown Chicago with a rating of 9 or higher for a stay from March 20-27, 2024, which offers free cancellation and includes a fitness center.",https://www.booking.com,web_voyager,travel_booking,reservation_service_platform,['create_booking']
Booking--13,"Find and book a hotel in Paris with suitable accommodations for a family of four (two adults and two children) offering free cancellation for the dates of February 14-21, 2024.",https://www.booking.com,web_voyager,travel_booking,reservation_service_platform,['create_booking']
Booking--14,"Book a highly-rated hotel with a swimming pool and free WiFi near the Louvre Museum in Paris for the weekend of March 3-5, 2024.",https://www.booking.com,web_voyager,travel_booking,reservation_service_platform,['create_booking']
1288,"Log in to your account (create one if you don't have one) and book a dinner reservation at ""Antoya"" for 2 people on the upcoming Friday at 8 PM.
Only use http://opentable.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://www.opentable.com,webbench_food_and_dining,travel_booking,reservation_service_platform,['create_booking']
1289,"Log in and make a reservation request at ""The Ivy"" in West Hollywood for a table for 2, including a special note that says ""Window seat preferred"".
Only use http://opentable.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://www.opentable.com,webbench_food_and_dining,travel_booking,reservation_service_platform,['create_booking']
1290,"Log in and book a reservation for 4 people at a restaurant on your birthday, adding a note for celebration and any dietary restrictions.
Only use http://opentable.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://www.opentable.com,webbench_food_and_dining,travel_booking,reservation_service_platform,['create_booking']
