ID,Starting URL,Category,Task
87,https://www.apa.org,CREATE,"Create a note in your APA account’s personal collection by saving the APA Style guidelines summary and tagging it as “Reference.”
Only use http://apa.org to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
88,https://www.apa.org,CREATE,"Subscribe to the APA weekly newsletter by entering your email address on the subscription form available on the homepage.
Only use http://apa.org to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
89,https://www.apa.org,CREATE,"Build a personal reading list in your APA account by adding three selected articles from the psychology research section, ensuring at least one article is from PsycARTICLES.
Only use http://apa.org to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
95,https://www.apa.org,UPDATE,"Access your profile settings and update your mailing address to 92 2nd Ave, New York, New York, 10003.
Only use http://apa.org to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
96,https://www.apa.org,UPDATE,"Modify your APA account’s newsletter preferences to switch from bi-weekly updates to monthly summaries.
Only use http://apa.org to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
422,https://www.encyclopedia.com,FILE_MANIPULATION,"Find an entry that offers a downloadable citation option for ""Climate Change,"" download the citation file, and verify that the file’s content includes both the topic title and the publisher’s name.
Only use http://encyclopedia.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
907,https://www.jagranjosh.com,CREATE,"Log in to jagranjosh.com and subscribe to the newsletter for current affairs updates by entering your email and mobile number.
Only use http://jagranjosh.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
908,https://www.jagranjosh.com,CREATE,"Submit feedback through the website’s contact form regarding the layout of the new exam guide section.
Only use http://jagranjosh.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
909,https://www.jagranjosh.com,CREATE,"Create a personalized study plan by bookmarking three exam preparation articles to your favorites list.
Only use http://jagranjosh.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
910,https://www.jagranjosh.com,CREATE,"Register for exam alerts by filling out the subscription form with your contact details, ensuring you select both email and SMS notifications.
Only use http://jagranjosh.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
911,https://www.jagranjosh.com,DELETE,"Log in to your account, create a list of 5 saved exam articles, then delete one article that you no longer wish to keep and confirm there are only 4 left.
Only use http://jagranjosh.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
912,https://www.jagranjosh.com,DELETE,"After adding an exam tip article to your favorites, remove it from the favorites list by checking the updated list.
Only use http://jagranjosh.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
936,https://www.khanacademy.org,CREATE,"Log in as a teacher and create a new assignment titled ""Introduction to Fractions"" that includes detailed instructions and expected outcomes for your students.
Only use http://khanacademy.org to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
