index,task,url,source,functional_category,profile,actions
351,"Post a comment on the artwork “Moonlit Sonata” praising its details and artistic style.
Only use http://deviantart.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://www.deviantart.com,webbench_art,creative_asset_sharing,content_sharing_platform,"post_comment"
352,"Update your profile’s “About” section by adding a new subsection called “Latest Accomplishments” that mentions your participation in a recent online exhibition.
Only use http://deviantart.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://www.deviantart.com,webbench_art,creative_asset_sharing,content_sharing_platform,"update_profile"
353,"Build a new favorites collection titled “Inspiration Board” and add at least 3 artworks from different categories such as digital painting, photography, and fan art.
Only use http://deviantart.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://www.deviantart.com,webbench_art,creative_asset_sharing,content_sharing_platform,"create_list,add_to_list"
354,"Log in to your account, create a temporary artwork submission titled “Test Art,” then delete it from your gallery and verify it no longer appears.
Only use http://deviantart.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://www.deviantart.com,webbench_art,creative_asset_sharing,content_sharing_platform,"create_content,delete_content"
355,"Log in, add a comment on the artwork ""Moonlit Sonata"", then remove the comment you posted on the artwork “Moonlit Sonata” from your profile, ensuring that the deletion is confirmed.
Only use http://deviantart.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://www.deviantart.com,webbench_art,creative_asset_sharing,content_sharing_platform,"post_comment,delete_comment"
363,"Change your notification settings to only receive updates for comments and favorites while filtering out notifications for mentions.
Only use http://deviantart.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://www.deviantart.com,webbench_art,creative_asset_sharing,content_sharing_platform,"update_notification_settings"
524,"Log in and create a new album titled ""Autumn Memories,"" then add three existing photos from your photostream to this album.
Only use http://flickr.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://flickr.com,webbench_art,creative_asset_sharing,content_sharing_platform,"create_list,add_to_list"
525,"Create a new gallery titled ""Wildlife Wonders"" by selecting at least 5 public photos from various photographers on Flickr.
Only use http://flickr.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://flickr.com,webbench_art,creative_asset_sharing,content_sharing_platform,"create_list,add_to_list"
526,"Post a comment on a featured photo complimenting the photographer with a message that includes the word ""inspiring.""
Only use http://flickr.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://flickr.com,webbench_art,creative_asset_sharing,content_sharing_platform,"post_comment"
527,"Form a new Flickr group focused on ""Street Photography"" by writing a group description, setting it to public, and inviting two other users by username: ""icydoor2"" and ""jacktastic.
Only use http://flickr.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://flickr.com,webbench_art,creative_asset_sharing,content_sharing_platform,"create_project,invite_user"
528,"Edit the metadata of one of your existing photos to include camera settings and location details in the description.
Only use http://flickr.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://flickr.com,webbench_art,creative_asset_sharing,content_sharing_platform,"update_content"
529,"Curate a collection by selecting 5 public domain photos from Flickr Commons and compiling them into a new album called ""Historical Snapshots.""
Only use http://flickr.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://flickr.com,webbench_art,creative_asset_sharing,content_sharing_platform,"create_list,add_to_list"
530,"Write a reply to an existing comment on a photo, providing constructive feedback in a multi-sentence response.
Only use http://flickr.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://flickr.com,webbench_art,creative_asset_sharing,content_sharing_platform,"post_comment"
531,"Update the tags of one of your photos by adding additional keywords like ""travel"" and ""adventure"" to enhance its discoverability.
Only use http://flickr.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://flickr.com,webbench_art,creative_asset_sharing,content_sharing_platform,"update_content"
532,"Log in, add a photo to your Faves, then remove it from your Faves and confirm it no longer appears in your Faves list.
Only use http://flickr.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://flickr.com,webbench_art,creative_asset_sharing,content_sharing_platform,"add_to_favorites,remove_from_favorites"
533,"Post a comment on a photo and subsequently delete your comment, verifying that it has been completely removed from the discussion.
Only use http://flickr.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://flickr.com,webbench_art,creative_asset_sharing,content_sharing_platform,"post_comment,delete_comment"
540,"Log in and update your profile bio by adding a few sentences about your current photography interests and style.
Only use http://flickr.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://flickr.com,webbench_art,creative_asset_sharing,content_sharing_platform,"update_profile"
541," create an album titled ""My Album"" then change it to ""Travel Diaries 2023.""
Only use http://flickr.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://flickr.com,webbench_art,creative_asset_sharing,content_sharing_platform,"create_list,update_list_metadata"
542," create an album, and modify the privacy settings of the album from ""Friends-only"" to ""Public"" so that anyone can view it.
Only use http://flickr.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://flickr.com,webbench_art,creative_asset_sharing,content_sharing_platform,"create_list,update_list_metadata"
588,"Log in to your account, add an asset titled “Abstract Waves” to your favorites, then delete it and verify that it no longer appears in your favorites list.
Only use http://freepik.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://www.freepik.com,webbench_art,creative_asset_sharing,content_sharing_platform,"add_to_favorites,remove_from_favorites,view_list"
594,"Log in to your Freepik account and update your profile by changing your display name to “CreativeGuru2023”.
Only use http://freepik.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://www.freepik.com,webbench_art,creative_asset_sharing,content_sharing_platform,"update_profile"
595,"After creating a collection titled “Holiday Campaign”, update the collection by adding a descriptive summary.
Only use http://freepik.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://www.freepik.com,webbench_art,creative_asset_sharing,content_sharing_platform,"create_list,update_list_metadata"
900,"Write and submit a product review for a stock video you recently downloaded, including a star rating and a comment on its quality.
Only use http://istockphoto.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://www.istockphoto.com,webbench_art,creative_asset_sharing,content_sharing_platform,"create_review,vote_review"
