ID,Starting URL,Category,Task
178,https://www.buzzfeed.com,CREATE,"Log in to BuzzFeed, navigate to the Community section, and create a new post titled “My Favorite 90s Memories” with a body text of at least 200 words.
Only use http://buzzfeed.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
179,https://www.buzzfeed.com,CREATE,"Take a BuzzFeed personality quiz, submit your result to your profile by clicking “Save Result,” and add a personal comment of at least 50 words about your experience.
Only use http://buzzfeed.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
180,https://www.buzzfeed.com,CREATE,"Using the Community submission portal, draft a BuzzFeed listicle titled “Top 10 Internet Memes of 2023” that includes five list items, each with a short description.
Only use http://buzzfeed.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
181,https://www.buzzfeed.com,CREATE,"Compose an original BuzzFeed-style article draft titled “Unexpected Lessons From Viral Videos” in the Community section, ensuring the article is at least 300 words long.
Only use http://buzzfeed.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
182,https://www.buzzfeed.com,CREATE,"Using your BuzzFeed account, submit a comment on a BuzzFeed quiz result sharing page that provides constructive feedback on the quiz design in at least two sentences.
Only use http://buzzfeed.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
183,https://www.buzzfeed.com,DELETE,"Log in, post a comment on one of the front page news articles on BuzzFeed, then locate this previously posted comment and delete the comment, ensuring it is removed from the article page.
Only use http://buzzfeed.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
189,https://www.buzzfeed.com,UPDATE,"Log in to your BuzzFeed account, navigate to your profile settings, and update your notification preferences to receive only email alerts for new quizzes.
Only use http://buzzfeed.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
190,https://www.buzzfeed.com,UPDATE,"Change your BuzzFeed account’s displayed name to “ViralEnthusiast” in the account settings and verify the update on your profile page.
Only use http://buzzfeed.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
191,https://www.buzzfeed.com,UPDATE,"Access your account settings on BuzzFeed, update your profile bio to mention your favorite BuzzFeed genre (like quizzes or listicles), and confirm the change on your public profile.
Only use http://buzzfeed.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
201,https://www.caranddriver.com,CREATE,"Log in to your Car and Driver account, navigate to a recent car review (for example, the review on the 2024 Porsche 911), and post a comment sharing your thoughts on the article’s insights.
Only use http://caranddriver.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
202,https://www.caranddriver.com,CREATE,"Create a new newsletter subscription by entering your email address.
Only use http://caranddriver.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
203,https://www.caranddriver.com,CREATE,"Log in, create a personalized bookmark folder titled ""My Dream Cars"", and add at least two car review pages to it.
Only use http://caranddriver.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
204,https://www.caranddriver.com,CREATE,"Log in, create a new comment on an article discussing electric vehicles, sharing your personal pros and cons of switching to EVs.
Only use http://caranddriver.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
205,https://www.caranddriver.com,DELETE,"Log in to your Car and Driver account, post a test comment on a car review article, then delete that comment and verify it is no longer visible.
Only use http://caranddriver.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
206,https://www.caranddriver.com,DELETE,"Log in to your Car and Drive account, save and article to your bookmarks, then delete the previously bookmarked article from your ""My Bookmarks"" list, and confirm that the article is no longer stored.
Only use http://caranddriver.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
215,https://www.cbr.com,CREATE,"Subscribe to the CBR newsletter by entering the email ""testuser@example.com"" and confirm that a subscription success message is displayed.
Only use http://cbr.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
216,https://www.cbr.com,CREATE,"If available, log in to the CBR forums and start a new thread titled ""Favorite Comic Series of 2023"" with a brief introduction of your top picks.
Only use http://cbr.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
217,https://www.cbr.com,DELETE,"In the forums section, create a discussion thread, then delete the discussion thread that you created earlier and confirm that it no longer appears in your list of threads.
Only use http://cbr.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
223,https://www.cbr.com,UPDATE,"Log in to your CBR account (if applicable) and update your newsletter subscription preferences to receive weekly updates instead of daily ones.
Only use http://cbr.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
224,https://www.cbr.com,UPDATE,"Within the CBR forums, reply to a discussion post from the forum. Then edit your previously created post with additional information, then save the updated post and confirm the change.
Only use http://cbr.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
240,https://www.cnet.com,CREATE,"Sign up for the CNET newsletter using your email, selecting tech news as your preference, then confirm receipt of the subscription confirmation.
Only use http://cnet.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
