Policy,Description,CRUD_Type,Args,
create_trip,"Create a new trip. A trip is a collection where saved items (e.g. hotels, car rentals, flights, etc) are stored.",CREATE,{},
update_trip,Rename or add description to an exisiting trip.,UPDATE,{},
delete_trip,"Delete an existing trip, all saved items from that trip is also deleted.",DELETE,{},
add_to_trip,"Add an item (e.g. hotels, car rentals, flights, etc) into an existing trip.",UPDATE,{},
remove_from_trip,Remove an item from an existing trip.,DELETE,{},
create_reservation,"Create a reservation/booking (hotel, flight, etc.). Use this policy when neither duration of reservation or cost per day of the reservation is specified, otherwise use the create_reservation_with_limit policy.",CREATE,{},
create_reservation_with_limit,"Create a reservation/booking (hotel, flight, etc.), if only the duration of the reservation is ${duration} day and the cost per day is less than ${cost_per_day} dollars.",CREATE,"{""duration"": {""type"": ""number"", ""description"": ""The number of days for the reservation""}, ""cost_per_day"": {""type"": ""number"", ""description"": ""The maximum cost per day for the reservation""}}",
update_reservation,"Modify details of an existing reservation/booking.",UPDATE,{},
cancel_reservation,Cancel or an existing reservation/booking.,DELETE,{},
create_review,Submit a new rating or written review for an item.,CREATE,{},
create_review_with_limit,"Submit a new rating or written review for a properties, experiences, or services, where the rating must be exactly ${number_of_stars} stars.",CREATE,"{""number_of_stars"": {""type"": ""number"", ""description"": ""The exact number of stars for the review""}}"
update_review,Edit a previously submitted review.,UPDATE,{},
delete_review,Delete a submitted review.,DELETE,{},
update_account_settings,Modify user account preferences or notification settings.,UPDATE,{},
