ID,Starting URL,Category,Task
650,https://github.com,CREATE,"Create a new public repository named ""MyFirstProject"" with an initial README file using GitHub’s web interface.
Only use http://github.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
651,https://github.com,CREATE,"In the repository ""octocat/Hello-World"", create a new issue titled ""Bug Report: Cannot load homepage"" with a detailed description of the problem.
Only use http://github.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
652,https://github.com,CREATE,"Fork the repository ""microsoft/vscode"" to your GitHub account and verify that the fork appears in your profile repository list.
Only use http://github.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
653,https://github.com,CREATE,"In your repository ""username/sample-repo"", create a new branch called ""feature/login"" and commit a file named ""login.md"" with placeholder text.
Only use http://github.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
654,https://github.com,CREATE,"Initiate a pull request to merge the ""feature/login"" branch into the ""main"" branch in the repository ""username/sample-repo"", including a brief explanation for the change.
Only use http://github.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
655,https://github.com,CREATE,"Add a new Wiki page titled ""Setup Guide"" to the repository ""username/documentation-repo"" and write a short introductory paragraph.
Only use http://github.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
656,https://github.com,CREATE,"Create a new GitHub Gist containing a Python code snippet that prints ""Hello GitHub"" and share the generated link.
Only use http://github.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
657,https://github.com,CREATE,"Set up GitHub Pages for a repository containing your personal website by enabling the GitHub Pages feature in its settings.
Only use http://github.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
658,https://github.com,CREATE,"Write a constructive comment on a pull request in the ""tensorflow/tensorflow"" repository offering one suggestion for improvement.
Only use http://github.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
659,https://github.com,CREATE,"Start a new discussion thread in your repository ""username/opensource-project"" to request community feedback on a proposed feature.
Only use http://github.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
660,https://github.com,DELETE,"Log in, create a repository called ""OldProject"" on your Github account then delete the repository named ""OldProject"" from your GitHub account and verify its no longer there. 
Only use http://github.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
661,https://github.com,DELETE,"Log in, create a repository called ""sample-repo"" with a new branch ""old-feature"" then delete the ""old-feature"" branch using GitHub’s branch management options.
Only use http://github.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
662,https://github.com,DELETE,"Create a GitHub Gist, then delete the created GitHub Gist and verify it is gone. 
Only use http://github.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
663,https://github.com,DELETE,"Create a ""Hello-World"" repository and create an issue for that repo. Then delete the issue created for that repository and verify its gone.
Only use http://github.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
664,https://github.com,FILE_MANIPULATION,"Download the ""CONTRIBUTING.md"" file from the ""microsoft/vscode"" repository and review its contents to ensure it provides clear contribution guidelines.
Only use http://github.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
670,https://github.com,UPDATE,"Log in to your GitHub account and create a repo titled ""MyFirstProject,"" then update the description of the repository ""MyFirstProject"" to read ""This is my first public project on GitHub.""
Only use http://github.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
671,https://github.com,UPDATE,"Create an issue for the ""octocat/Hello-World"" repository titled ""Bug Fix"" then update the title of the issue to ""Bug Report: Cannot load homepage."" 
Only use http://github.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
672,https://github.com,UPDATE,"Create a repository named ""sample-repo-2"" then change the branch protection rules for the ""main"" branch in your repository to require at least one approving review before merging any changes.
Only use http://github.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
673,https://github.com,UPDATE,"Create a repository titled ""username/MyFirstProject"" then edit the ""README.md"" file in your repository ""username/MyFirstProject"" to include a new section outlining installation instructions.
Only use http://github.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
2375,https://www.bing.com,CREATE,"Using Bing's AI copilot feature, generate a short story about a futuristic city on Mars and copy the resulting story text.
Only use https://www.bing.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
2376,https://www.bing.com,CREATE,"Ask Bing's AI copilot to create a brief poem about the changing seasons, then save the poem text.
Only use https://www.bing.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
2377,https://www.bing.com,CREATE,"Utilize Bing's AI-powered copilot to draft a new blog post introduction about healthy living and copy the generated text.
Only use https://www.bing.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
2378,https://www.bing.com,CREATE,"Request a creative recipe idea that primarily features avocados using Bing's copilot chat, then record the resulting text.
Only use https://www.bing.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
2379,https://www.bing.com,CREATE,"Generate a list of five creative slogans for a local coffee shop using Bing copilot chat and save the list as text.
Only use https://www.bing.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
2380,https://www.bing.com,CREATE,"Ask Bing's AI copilot to generate a motivational quote for a morning routine, then copy the output text.
Only use https://www.bing.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
2381,https://www.bing.com,CREATE,"Use Bing’s AI copilot to craft a textual description for a conceptual office environment design and record the description text.
Only use https://www.bing.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
2382,https://www.bing.com,CREATE,"Request Bing copilot to draft a short thank-you note for a friend who helped with a project, then copy the note text.
Only use https://www.bing.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
2383,https://www.bing.com,CREATE,"In Bing copilot, ask for assistance in composing an email invitation for a virtual meeting, then record the drafted email text.
Only use https://www.bing.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
2384,https://www.bing.com,CREATE,"Ask Bing's copilot to generate a creative tagline for an online educational course in data science and copy the tagline text.
Only use https://www.bing.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
2385,https://www.bing.com,DELETE,"Log in to your Bing account, add a specific website to your favorites or bookmarks, then remove it and copy the deletion confirmation message.
Only use https://www.bing.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
2386,https://www.bing.com,DELETE,"Look up ""Recipe for vegan lasagna"". In your Bing search history, delete the record for the search term ""recipe for vegan lasagna"" and verify it no longer appears.
Only use https://www.bing.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
2392,https://www.bing.com,UPDATE,"Log in to your Bing account, navigate to your search settings, and update your search region preference to ""Europe"" or ""France"", then verify the change via the on-screen text.
Only use https://www.bing.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
2393,https://www.bing.com,UPDATE,"Access your Bing Rewards profile, update your contact email address to a new one, and copy the confirmation message displayed.
Only use https://www.bing.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
2509,https://www.google.com/maps,CREATE,"Log in to your Google account on Google Maps, search for Central Park in New York, and save it to your “Favorites” list.
Only use https://www.google.com/maps to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
2510,https://www.google.com/maps,CREATE,"Create a custom map for a planned road trip along the California coast and add markers for three key stops: Malibu, Santa Barbara, and Monterey.
Only use https://www.google.com/maps to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
2511,https://www.google.com/maps,CREATE,"Log in and add a new review for The French Laundry in Napa Valley with a 5-star rating and a comment praising its dining experience.
Only use https://www.google.com/maps to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
2512,https://www.google.com/maps,CREATE,"Log in, create a custom list titled “Weekend Getaways” and add three nearby cities from your area as shown on Google Maps.
Only use https://www.google.com/maps to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
2513,https://www.google.com/maps,CREATE,"Log in to Google Maps, mark your current location, and use the share option to generate a location link.
Only use https://www.google.com/maps to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
2514,https://www.google.com/maps,CREATE,"Log in, create a shared list titled “Foodie Spots” and add three top-rated local restaurants with a short description for each.
Only use https://www.google.com/maps to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
2515,https://www.google.com/maps,DELETE,"Log in to your Google Maps account, create a new list named ""Amsterdam Bike Tour"", and then go back to the list and delete it, ensuring it is removed from your favorites.
Only use https://www.google.com/maps to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
2521,https://www.google.com/maps,UPDATE,"Log in to your Google Maps account, create a new list named ""Coffee Dates"", and then go back to the list and update its title to ""Coffee Afternoons"".
Only use https://www.google.com/maps to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
2522,https://www.google.com/maps,UPDATE,"Log in, create a shared list titled “Best Foodie Spots” and add three top-rated local restaurants, and then go back to the list and add a description to one of the restaurants.
Only use https://www.google.com/maps to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
