index,task,url,source,functional_category,profile,actions
677,"Log in to your Glassdoor account and submit an anonymous review for your current employer, BCG, including a 4‑star rating, three pros, and two cons.
Only use http://glassdoor.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://www.glassdoor.com/index.htm,webbench_career,career_professional,professional_network_platform,['create_review']
678,"Log in and create a new salary submission for a ""Product Manager"" position, detailing base salary, bonus, and any additional compensation components.
Only use http://glassdoor.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://www.glassdoor.com/index.htm,webbench_career,career_professional,professional_network_platform,['submit_salary']
679,"Log in to your Glassdoor account and add an interview review for a Finance Manager role, including the questions asked, interviewer impressions, and an overall difficulty rating.
Only use http://glassdoor.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://www.glassdoor.com/index.htm,webbench_career,career_professional,professional_network_platform,['create_review']
680,"Post a new discussion in a Glassdoor community Bowl about work-life balance at tech startups, providing your insights and suggestions.
Only use http://glassdoor.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://www.glassdoor.com/index.htm,webbench_career,career_professional,professional_network_platform,['create_content']
681,"Log in and submit a feedback tip for improving the company review process on Glassdoor, detailing specific areas where enhancements can be made.
Only use http://glassdoor.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://www.glassdoor.com/index.htm,webbench_career,career_professional,professional_network_platform,['send_message']
682,"Log in to your Glassdoor account, and join The Worklife Bowl, the New York City Bowl, and Job Referrals! Bowl.
Only use http://glassdoor.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://www.glassdoor.com/index.htm,webbench_career,career_professional,professional_network_platform,['join_project']
683,"Log in to your Glassdoor account and share your interview feedback for ""Salesforce"" by posting a detailed anonymous interview experience that includes specific questions and an overall difficulty rating.
Only use http://glassdoor.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://www.glassdoor.com/index.htm,webbench_career,career_professional,professional_network_platform,['create_review']
684,"Submit a new salary information entry on Glassdoor for a ""Marketing Manager"" position at a mid-sized company, including details for base salary, bonus, and location while ensuring anonymity.
Only use http://glassdoor.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://www.glassdoor.com/index.htm,webbench_career,career_professional,professional_network_platform,['submit_salary']
685,"Log in to your Glassdoor account, submit a new anonymous review for a company of your choice, then delete that review immediately, confirming that it has been removed from your profile.
Only use http://glassdoor.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://www.glassdoor.com/index.htm,webbench_career,career_professional,professional_network_platform,"['create_review', 'delete_review']"
686,"Log in to your Glassdoor account, create an interview review for a ""Sales Manager"" position, then delete the interview review, validating that it is no longer visible.
Only use http://glassdoor.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://www.glassdoor.com/index.htm,webbench_career,career_professional,professional_network_platform,"['create_review', 'delete_review']"
687,"Log in to your Glassdoor account, post a new comment in a community discussion about job search tips, then delete your comment and verify that it is no longer displayed.
Only use http://glassdoor.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://www.glassdoor.com/index.htm,webbench_career,career_professional,professional_network_platform,"['post_comment', 'delete_comment']"
693,"Log in to your Glassdoor account, create a review for ""Apple"" as your employer, and submit the rating as 4 stars. Then locate the review you submitted for ""Apple"", and update it by increasing the rating from 4 to 5 stars and adding two new pros.
Only use http://glassdoor.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://www.glassdoor.com/index.htm,webbench_career,career_professional,professional_network_platform,"['create_review', 'update_review']"
694,"Log in to your Glassdoor account, post a review for the firm ""Accenture."" Then find the review you posted for ""Accenture"", and update the text to add further insights about career growth opportunities.
Only use http://glassdoor.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://www.glassdoor.com/index.htm,webbench_career,career_professional,professional_network_platform,"['create_review', 'update_review']"
1009,"Log in and create a new text post about your recent professional success, tagging two colleagues.
Only use http://linkedin.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://www.linkedin.com,webbench_career,career_professional,professional_network_platform,['create_content']
1010,"Publish a long-form article titled ""The Future of Remote Work"" using LinkedIn's article editor, complete with an introduction and body text.
Only use http://linkedin.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://www.linkedin.com,webbench_career,career_professional,professional_network_platform,['create_content']
1011,"Create a Linkedin update post suggesting you got a job promotion and are now a Senior Associate at McKinsey.
Only use http://linkedin.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://www.linkedin.com,webbench_career,career_professional,professional_network_platform,['create_content']
1012,"Initiate a poll asking your network ""What is your preferred work-from-home setup?"" with four distinct answer options.
Only use http://linkedin.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://www.linkedin.com,webbench_career,career_professional,professional_network_platform,['create_poll']
1013,"Write a direct message to a new connection thanking them for connecting and mentioning a shared professional interest.
Only use http://linkedin.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://www.linkedin.com,webbench_career,career_professional,professional_network_platform,['send_message']
1014,"Add a new certification entry titled ""Certified Data Professional"" to your profile, including the issuing organization and date earned.
Only use http://linkedin.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://www.linkedin.com,webbench_career,career_professional,professional_network_platform,['add_certification']
1015,"Add a job history entry to your profile titled Analyst at LabRite, from June 2021 - September 2023.
Only use http://linkedin.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://www.linkedin.com,webbench_career,career_professional,professional_network_platform,['add_job_experience']
1016,"Post a recommendation for a colleague, highlighting their project management expertise.
Only use http://linkedin.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://www.linkedin.com,webbench_career,career_professional,professional_network_platform,['post_recommendation']
1017,"Comment on a recent article posted by Google, ensuring that your comment has a positive and professional connotation.
Only use http://linkedin.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://www.linkedin.com,webbench_career,career_professional,professional_network_platform,['post_comment']
1018,"Compose and publish a newsletter titled ""Career Hacks"" with an outline covering at least three topics for the first issue.
Only use http://linkedin.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://www.linkedin.com,webbench_career,career_professional,professional_network_platform,['create_content']
1019,"Create a job description post on your LinkedIn profile for a freelance project opportunity.
Only use http://linkedin.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://www.linkedin.com,webbench_career,career_professional,professional_network_platform,['create_content']
1020,"Write a LinkedIn post sharing your insights on current market trends in digital marketing.
Only use http://linkedin.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://www.linkedin.com,webbench_career,career_professional,professional_network_platform,['create_content']
1021,"Compose a text-based post asking your network for advice on upskilling in data analytics and mention two trending skills you wish to learn.
Only use http://linkedin.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://www.linkedin.com,webbench_career,career_professional,professional_network_platform,['create_content']
1022,"Log in to your LinkedIn account, comment on a group discussion, and delete it.
Only use http://linkedin.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://www.linkedin.com,webbench_career,career_professional,professional_network_platform,"['post_comment', 'delete_comment']"
1023,"Find a random profile on Linkedin, and request to connect. Then cancel the pending connection request that has not yet been accepted.
Only use http://linkedin.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://www.linkedin.com,webbench_career,career_professional,professional_network_platform,"['send_connection_request', 'cancel_connection_request']"
