index,task,url,source,functional_category,profile
NupriBvqw19uWKQKgcHRS,Shop for a Four Points by Sheraton gift card of value 150 dollars with Marriott deluxe box and add it to the cart in the name of Clara from James with happy Christmas message and checkout in marriott,https://www.marriott.com,mind_2_web_train,travel_booking,reservation_service_platform
GUBDO0r64SaN_ZrxcSaHg,Change your store to the one nearest to 07055 in carmax,https://www.carmax.com,mind_2_web_train,automotive_services,reservation_service_platform
gDB083_WaqyuVYLxOBqGc,"Search for queen-size pillow protectors from the Marriot shop, and if found, add two pieces to the cart and checkout in marriott",https://www.marriott.com,mind_2_web_train,travel_booking,reservation_service_platform
FoP8QZ-JiAcVODUHGQj8v,"Buy a single day pass to Six Flags, Magic Mountain in sixflags",https://www.sixflags.com,mind_2_web_train,travel_booking,reservation_service_platform
BFldiHVgJokdXs0UEIbuK,Change the language to UK English and the currency to Euros in thetrainline,https://www.thetrainline.com,mind_2_web_train,travel_booking,reservation_service_platform
A4-lOKiaLuPDD4VO0MJY6,Book 2 tickets for stand-up comedian Dave Chappelle and the roots shows in ticketcenter,https://www.ticketcenter.com,mind_2_web_train,travel_booking,reservation_service_platform
8Rb4YIIUnrFeu3JmhQHBK,Order an adult’s bottomless bubbles package for Joe Bloggs who is booked onto cruise 101010 in carnival,https://www.carnival.com,mind_2_web_train,travel_booking,reservation_service_platform
17p9b8a_Nl6WTv0ZbvPAQ,"Find a store in Los Angeles, California, and set Riverside as my store and add a card from that store to my favorites in carmax",https://www.carmax.com,mind_2_web_train,automotive_services,reservation_service_platform
jfjr1xGSPsucAuuUEBwCR,Add to my wish list the highest rated activity in Amsterdam on viator,https://www.viator.com,mind_2_web_test,travel_booking,reservation_service_platform
Booking--6,"Book one room which provides breakfast, and airport shuttle from Jan 22 to 25 in Los Angeles.",https://www.booking.com,web_voyager,travel_booking,reservation_service_platform
Booking--11,"Reserve a hotel in downtown Chicago with a rating of 9 or higher for a stay from March 20-27, 2024, which offers free cancellation and includes a fitness center.",https://www.booking.com,web_voyager,travel_booking,reservation_service_platform
Booking--13,"Find and book a hotel in Paris with suitable accommodations for a family of four (two adults and two children) offering free cancellation for the dates of February 14-21, 2024.",https://www.booking.com,web_voyager,travel_booking,reservation_service_platform
Booking--14,"Book a highly-rated hotel with a swimming pool and free WiFi near the Louvre Museum in Paris for the weekend of March 3-5, 2024.",https://www.booking.com,web_voyager,travel_booking,reservation_service_platform
1288,"Log in to your account (create one if you don't have one) and book a dinner reservation at ""Antoya"" for 2 people on the upcoming Friday at 8 PM.
Only use http://opentable.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://www.opentable.com,webbench_food_and_dining,travel_booking,reservation_service_platform
1289,"Log in and make a reservation request at ""The Ivy"" in West Hollywood for a table for 2, including a special note that says ""Window seat preferred"".
Only use http://opentable.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://www.opentable.com,webbench_food_and_dining,travel_booking,reservation_service_platform
1290,"Log in and book a reservation for 4 people at a restaurant on your birthday, adding a note for celebration and any dietary restrictions.
Only use http://opentable.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://www.opentable.com,webbench_food_and_dining,travel_booking,reservation_service_platform
1291,"Log in and book a brunch reservation at a restuarant in New York for 2 people on the next Sunday morning.
Only use http://opentable.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://www.opentable.com,webbench_food_and_dining,travel_booking,reservation_service_platform
1292,"Log in, place a table reservation at ""Gramercy Tavern"" specifying indoor seating and include a note to celebrate an anniversary.
Only use http://opentable.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://www.opentable.com,webbench_food_and_dining,travel_booking,reservation_service_platform
1293,"Log in, book a family lunch reservation for 6 people at ""The Cheesecake Factory"" and include a note requesting a high chair.
Only use http://opentable.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://www.opentable.com,webbench_food_and_dining,travel_booking,reservation_service_platform
1294,"Log in, book a dinner reservation at Wolfgang Steakhouse in New York City for a celebration with friends, specifying your preferred dining time and any special requests.
Only use http://opentable.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://www.opentable.com,webbench_food_and_dining,travel_booking,reservation_service_platform
1295,"Log in to your account, create a reservation at PF Chang's and add a dining note ""Allergic to nuts"" to your upcoming reservation
Only use http://opentable.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://www.opentable.com,webbench_food_and_dining,travel_booking,reservation_service_platform
1301,"Log in to your profile and modify your dietary preferences by selecting Pescatarian and Vegan.
Only use http://opentable.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://www.opentable.com,webbench_food_and_dining,travel_booking,reservation_service_platform
1452,"Create a new reservation for two at ""Blue Box Café by Daniel Boulud"" on a chosen date and time, then save the confirmation.
Only use http://resy.com/ to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://resy.com,webbench_food_and_dining,travel_booking,reservation_service_platform
