index,task,url,source,functional_category,profile,actions
1632,"Log in to your StackExchange account, navigate to the Stack Overflow community, and post a new question titled ""How can I optimize Python code for faster execution?"" including a detailed description and a sample code snippet.
Only use http://stackexchange.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://stackexchange.com,webbench_education,knowledge_communities,knowledge_community_platform,"['post_question']"
1633,"Log in and add a comment on a question in the Ask Ubuntu community, thanking the contributor for a particularly helpful answer.
Only use http://stackexchange.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://stackexchange.com,webbench_education,knowledge_communities,knowledge_community_platform,"['post_comment']"
1634,"In the Mathematics community, create a new question titled ""What are the best strategies for solving complex combinatorics problems?"" and include a detailed problem statement.
Only use http://stackexchange.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://stackexchange.com,webbench_education,knowledge_communities,knowledge_community_platform,"['post_question']"
1635,"Log in, navigate to the Data Science community, and post an answer on a question about ""feature engineering techniques"" including at least two bullet points.
Only use http://stackexchange.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://stackexchange.com,webbench_education,knowledge_communities,knowledge_community_platform,"['post_answer']"
1636,"In the Server Fault community, post a new question titled ""How to properly configure a load balancer for high traffic websites?"" and include details about your network setup.
Only use http://stackexchange.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://stackexchange.com,webbench_education,knowledge_communities,knowledge_community_platform,"['post_question']"
1637,"Log in, navigate to the Help Center via the site menu, and submit a feedback message regarding potential feature improvements.
Only use http://stackexchange.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://stackexchange.com,webbench_education,knowledge_communities,knowledge_community_platform,"['send_message']"
1638,"Log in to the StackExchange Meta site and start a new discussion titled ""Suggestions for improving site navigation,"" detailing your community ideas.
Only use http://stackexchange.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://stackexchange.com,webbench_education,knowledge_communities,knowledge_community_platform,"['create_content']"
1639,"In the Ask Different community, create a question titled ""Which macOS settings boost battery performance?"" and include details about my Macbook Pro M2 (256GB) model.
Only use http://stackexchange.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://stackexchange.com,webbench_education,knowledge_communities,knowledge_community_platform,"['post_question']"
1640,"Post an answer in the Super User community to a question regarding ""SSD vs HDD performance"" and include relevant benchmark numbers.
Only use http://stackexchange.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://stackexchange.com,webbench_education,knowledge_communities,knowledge_community_platform,"['post_answer']"
1641,"In the Network Engineering community, create a new question titled ""What are the common pitfalls in configuring BGP?"" and add a detailed scenario with examples.
Only use http://stackexchange.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://stackexchange.com,webbench_education,knowledge_communities,knowledge_community_platform,"['post_question']"
1642,"Log in and post a new question in the Academia community titled ""How to balance research and teaching responsibilities?"" with contextual examples from your experience.
Only use http://stackexchange.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://stackexchange.com,webbench_education,knowledge_communities,knowledge_community_platform,"['post_question']"
1643,"In the Cross Validated (statistics) community, post an answer to a question on ""interpreting p-values"" that features a clear explanation and sample R code.
Only use http://stackexchange.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://stackexchange.com,webbench_education,knowledge_communities,knowledge_community_platform,"['post_answer']"
1644,"Using the Markdown editor, log in and create a comprehensive guide titled ""How to use StackExchange effectively"" on the Meta site.
Only use http://stackexchange.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://stackexchange.com,webbench_education,knowledge_communities,knowledge_community_platform,"['create_content']"
1645,"Log in and post a new question in the Web Applications community titled ""What are effective strategies for increasing website engagement?"" listing at least three actionable tactics.
Only use http://stackexchange.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://stackexchange.com,webbench_education,knowledge_communities,knowledge_community_platform,"['post_question']"
1646,"Post an answer in the Unix & Linux community for a question on ""bash scripting best practices"" that includes example commands and expected output.
Only use http://stackexchange.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://stackexchange.com,webbench_education,knowledge_communities,knowledge_community_platform,"['post_answer']"
1647,"Choose any StackExchange community and create a complete Q&A pair about a trending technology topic, ensuring both the question and answer are detailed.
Only use http://stackexchange.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://stackexchange.com,webbench_education,knowledge_communities,knowledge_community_platform,"['post_question', 'post_answer']"
1648,"In the Role-playing Games community, post a new question titled ""How do game mechanics in tabletop RPGs balance chance and strategy?"" with examples from popular games.
Only use http://stackexchange.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://stackexchange.com,webbench_education,knowledge_communities,knowledge_community_platform,"['post_question']"
1649,"Log in to the Ask Ubuntu community and post a comment asking for further clarification on a technical detail in a recent question.
Only use http://stackexchange.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://stackexchange.com,webbench_education,knowledge_communities,knowledge_community_platform,"['post_comment']"
1650,"In the Sustainable Living community, create a question titled ""What are some practical ways to reduce household energy consumption?"" and describe current challenges with energy use.
Only use http://stackexchange.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://stackexchange.com,webbench_education,knowledge_communities,knowledge_community_platform,"['post_question']"
1651,"On the Artificial Intelligence community page, post an answer to a question about ""building neural networks"" that includes at least one Python code snippet.
Only use http://stackexchange.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://stackexchange.com,webbench_education,knowledge_communities,knowledge_community_platform,"['post_answer']"
1652,"In the Robotics community, create a new question titled ""How do sensor fusion techniques improve robot navigation?"" and provide examples from recent research.
Only use http://stackexchange.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://stackexchange.com,webbench_education,knowledge_communities,knowledge_community_platform,"['post_question']"
1653,"Log in to your account and create a new question in the Code Review community titled ""Request for feedback: My implementation of the A* algorithm,"" including a sample code snippet.
Only use http://stackexchange.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://stackexchange.com,webbench_education,knowledge_communities,knowledge_community_platform,"['post_question']"
1654,"In the Ask Ubuntu community, craft a guide post titled ""How to troubleshoot common boot issues in Ubuntu"" with step-by-step instructions.
Only use http://stackexchange.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://stackexchange.com,webbench_education,knowledge_communities,knowledge_community_platform,"['create_content']"
1655,"Post a detailed answer on the Server Fault community about ""VoIP troubleshooting"" by describing configuration examples and common issues.
Only use http://stackexchange.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://stackexchange.com,webbench_education,knowledge_communities,knowledge_community_platform,"['post_answer']"
1656,"Log in to the Mathematics community and contribute a new answer to a question on ""set theory fundamentals,"" providing clear explanations and examples.
Only use http://stackexchange.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://stackexchange.com,webbench_education,knowledge_communities,knowledge_community_platform,"['post_answer']"
1657,"Log in to your account, create a temporary test question in the Academia community titled ""Test Question for Deletion,"" then delete it and confirm its removal from your profile.
Only use http://stackexchange.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://stackexchange.com,webbench_education,knowledge_communities,knowledge_community_platform,"['post_question', 'delete_question']"
1658,"In the Super User community, post a temporary answer labeled ""Test answer for deletion"" to an existing question and then delete it, ensuring it no longer appears in your contributions.
Only use http://stackexchange.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://stackexchange.com,webbench_education,knowledge_communities,knowledge_community_platform,"['post_answer', 'delete_answer']"
1659,"Log in to your account, add a comment on one of your own questions in the Ask Different community, and then delete the comment to verify its removal.
Only use http://stackexchange.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://stackexchange.com,webbench_education,knowledge_communities,knowledge_community_platform,"['post_comment', 'delete_comment']"
1660,"Create a temporary post in the Cross Validated community and delete it using available deletion options, confirming that the post is no longer visible.
Only use http://stackexchange.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://stackexchange.com,webbench_education,knowledge_communities,knowledge_community_platform,"['create_content', 'delete_content']"
1666,"Log in to your account, post a question in the Mathematics community related to fractals, then navigate to this question in the Mathematics community, and edit it to include additional context and clarification.
Only use http://stackexchange.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://stackexchange.com,webbench_education,knowledge_communities,knowledge_community_platform,"['post_question', 'update_question']"
1667,"In the Ask Ubuntu community, post a question about ""Linux installation errors"", then locate a question you posted about ""Linux installation errors"" and update the description with specific error messages.
Only use http://stackexchange.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://stackexchange.com,webbench_education,knowledge_communities,knowledge_community_platform,"['post_question', 'update_question']"
1668,"Edit a community wiki post on the Programming Puzzles & Code Golf site to add new optimization tips and refresh outdated content.
Only use http://stackexchange.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://stackexchange.com,webbench_education,knowledge_communities,knowledge_community_platform,"['update_content']"
1669,"Log in and post a question in the Cross Validated community titled ""Statistical Significance in A/B Testing."" Then update the title of this question to ""Understanding Statistical Significance in A/B Testing.""
Only use http://stackexchange.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://stackexchange.com,webbench_education,knowledge_communities,knowledge_community_platform,"['post_question', 'update_question']"
1670,"In the Meta community, write a feedback post giving suggestions to improve the site, then edit your previous feedback post to add further suggestions on improving the site's user interface.
Only use http://stackexchange.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://stackexchange.com,webbench_education,knowledge_communities,knowledge_community_platform,"['create_content', 'update_content']"
1671,"Log in to the Web Applications community and answer a question ""increasing website engagement."" Then update your answer with additional examples and an emoji.
Only use http://stackexchange.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://stackexchange.com,webbench_education,knowledge_communities,knowledge_community_platform,"['post_answer', 'update_answer']"
1672,"Log in and post a new question detailing an error encountered when compiling a C++ program, including a minimum reproducible example using code blocks.
Only use http://stackoverflow.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://stackoverflow.com/questions,webbench_education,knowledge_communities,knowledge_community_platform,"['post_question']"
1673,"Register a new account and submit a self-answered question explaining how to manage state in a React application, complete with code examples.
Only use http://stackoverflow.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://stackoverflow.com/questions,webbench_education,knowledge_communities,knowledge_community_platform,"['post_question', 'post_answer']"
1674,"Compose a new answer for a question about Python's data types, ensuring you include well-formatted code snippets.
Only use http://stackoverflow.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://stackoverflow.com/questions,webbench_education,knowledge_communities,knowledge_community_platform,"['post_answer']"
