ID,Starting URL,Category,Task
722,https://www.grubhub.com,CREATE,"Write and submit a 4-star review for ""Chipotle Mexican Grill"" praising the customizable bowl options.
Only use http://grubhub.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
723,https://www.grubhub.com,CREATE,"Create a new review for ""McDonald's"" by giving it a 3-star rating along with detailed comments about the drive-thru service.
Only use http://grubhub.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
724,https://www.grubhub.com,CREATE,"Add ""Domino's Pizza"" near zip code 10015 to your list of favorite restaurants on Grubhub.
Only use http://grubhub.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
725,https://www.grubhub.com,CREATE,"Place a new order for a pepperoni pizza from ""Domino's Pizza"" and include an instruction to add extra cheese.
Only use http://grubhub.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
726,https://www.grubhub.com,CREATE,"Log in and save ""Panda Express"" near zip code 10004 to your list of favorite restaurants.
Only use http://grubhub.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
727,https://www.grubhub.com,CREATE,"Write a 5-star review for ""Subway"" emphasizing the freshness of its vegetables and the quality of its sandwiches.
Only use http://grubhub.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
728,https://www.grubhub.com,CREATE,"Add a new delivery address ""123 Main Street, Chicago, IL"" to your account profile.
Only use http://grubhub.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
729,https://www.grubhub.com,CREATE,"Place an order for a 10-piece chicken bucket with mashed potatoes from ""KFC"". Pick one side order at random, and add this to the order. 
Only use http://grubhub.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
730,https://www.grubhub.com,CREATE,"FInd ""Smash House Burgers Queens"" near 555 Main Street in New York, NY. Then add a Jalapeno Smash to your order.
Only use http://grubhub.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
731,https://www.grubhub.com,CREATE,"Submit a review for ""In-N-Out Burger"" highlighting excellent customer service and overall dining experience.
Only use http://grubhub.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
732,https://www.grubhub.com,CREATE,"Create an order for a """"Shackburger"" from ""Shake Shack"" with a note requesting extra pickles.
Only use http://grubhub.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
733,https://www.grubhub.com,CREATE,"Create an order for a """"SmokeShack"" from ""Shake Shack"" with a note requesting no cheese.
Only use http://grubhub.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
734,https://www.grubhub.com,CREATE,"Write a review for ""Olive Garden"" noting your enjoyment of their pasta dishes and the restaurant's ambiance.
Only use http://grubhub.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
735,https://www.grubhub.com,CREATE,"Place an order for a ""Vegan Salad Bowl"" from a local healthy eatery near zip code 10004, including a special instruction for extra dressing.
Only use http://grubhub.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
736,https://www.grubhub.com,CREATE,"Place a new order from ""Culver's"" for a ButterBurger accompanied by a side of waffle fries. Ensure that the delivery time is less than 50 minutes. If it is more than 50 minutes, find a different restaurant that has <50 minute wait time and recommend a similar order.
Only use http://grubhub.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
737,https://www.grubhub.com,CREATE,"Place an order for pickup of a ""Bacon King"" at 2 separate Burger Kings in 2 separate states. Then compare the prices of the overall orders, citing if anything led to a change in price.
Only use http://grubhub.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
738,https://www.grubhub.com,CREATE,"Write a review for ""Starbucks"" describing your experience with their breakfast menu and the quality of their beverages.
Only use http://grubhub.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
739,https://www.grubhub.com,CREATE,"Order an iced latte from Dunkin Donuts, and add a delivery note to your pending order from ""Dunkin' Donuts"" requesting extra napkins with your coffee.
Only use http://grubhub.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
740,https://www.grubhub.com,CREATE,"Order a lunch combo from ""Chick-fil-A"" and include a special request for a specific dipping sauce, Chick-fil-a sauce.
Only use http://grubhub.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
741,https://www.grubhub.com,DELETE,"Log in to your account and add ""KFC"" to your list of favorite restaurants, and then remove ""KFC"" from your list of favorite restaurants.
Only use http://grubhub.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
742,https://www.grubhub.com,DELETE,"Log in and add a review to a McDonald's near zip code 10013. Then delete the review you previously submitted for ""McDonald's,"" confirming its removal from your account.
Only use http://grubhub.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
743,https://www.grubhub.com,FILE_MANIPULATION,"Log in after placing an order from ""Domino's Pizza,"" download your order receipt as a PDF, and verify that the downloaded file’s name includes the word ""receipt.""
Only use http://grubhub.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
749,https://www.grubhub.com,UPDATE,"Log in to your Grubhub account, navigate to your saved addresses, and update your primary delivery address first to 555 Main Street, New York, NY to 456 Elm Street, Chicago, IL.
Only use http://grubhub.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1288,https://www.opentable.com,CREATE,"Log in to your account (create one if you don't have one) and book a dinner reservation at ""Antoya"" for 2 people on the upcoming Friday at 8 PM.
Only use http://opentable.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1289,https://www.opentable.com,CREATE,"Log in and make a reservation request at ""The Ivy"" in West Hollywood for a table for 2, including a special note that says ""Window seat preferred"".
Only use http://opentable.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1290,https://www.opentable.com,CREATE,"Log in and book a reservation for 4 people at a restaurant on your birthday, adding a note for celebration and any dietary restrictions.
Only use http://opentable.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1291,https://www.opentable.com,CREATE,"Log in and book a brunch reservation at a restuarant in New York for 2 people on the next Sunday morning.
Only use http://opentable.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1292,https://www.opentable.com,CREATE,"Log in, place a table reservation at ""Gramercy Tavern"" specifying indoor seating and include a note to celebrate an anniversary.
Only use http://opentable.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1293,https://www.opentable.com,CREATE,"Log in, book a family lunch reservation for 6 people at ""The Cheesecake Factory"" and include a note requesting a high chair.
Only use http://opentable.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
1294,https://www.opentable.com,CREATE,"Log in, book a dinner reservation at Wolfgang Steakhouse in New York City for a celebration with friends, specifying your preferred dining time and any special requests.
Only use http://opentable.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
