index,task,url,source,functional_category,profile,required_actions
3pgcXaIyKP86RuRIAYxuL,View the toddler collection and add one pair of the cheapest socks for a 6 months to 5 years to the wishlist in uniqlo,https://www.uniqlo.com,mind_2_web_train,transactional_commerce,commerce_platform,['add_to_list']
Z4sN-x3Om-1ceaX-MGZOh,Add to my cart a women's T-shirt priced under 10 dollars in uniqlo,https://www.uniqlo.com,mind_2_web_train,transactional_commerce,commerce_platform,['add_to_cart']
U48JEskxYwDR2suJariKt,Schedule COVID-19 test appointment at 90028 in cvs,https://www.cvs.com,mind_2_web_train,transactional_commerce,commerce_platform,['schedule_appointment']
ERwj-HJ1LyzPg78HDFLXl,Add a NBA basketball game for the PS5 to the shoping cart in gamestop,https://www.gamestop.com,mind_2_web_train,transactional_commerce,commerce_platform,['add_to_cart']
PXNnM5AIwCbqfP9xGvbGF,"Trade in a Nemo Front Porch 2P Tent via mail with my membership info Joe Bloggs, phone number 123456789 in rei",https://www.rei.com,mind_2_web_train,transactional_commerce,commerce_platform,['trade_in_item']
iqjHVXgRt7rDjJLy88EDX,"Send a 50-dollar home sweet home gift to my friend John with the message Congrats on your new home, and add this card to your cart and checkout in menards",https://www.menards.com,mind_2_web_train,transactional_commerce,commerce_platform,"['add_to_cart', 'checkout']"
4mvk0HOEdSNyXU_bN4t3t,Add a CVS brand covid home test kit to the cart in cvs,https://www.cvs.com,mind_2_web_train,transactional_commerce,commerce_platform,['add_to_cart']
A7Up6gk7TOHyt9JQi3q_-,Add cheapest vitamin C and D to cart in cvs,https://www.cvs.com,mind_2_web_train,transactional_commerce,commerce_platform,['add_to_cart']
20FCgYpxo46TXUhCKHWwg,Show offers on home essentials under $10 and add the first 3 items to favorites  in ikea,https://www.ikea.com,mind_2_web_train,transactional_commerce,commerce_platform,['add_to_list']
Nu3toZ1yyvv1s9Ftfjrme,"Find the cheapest surge protector with 6 to 8 outlets under 25 dollars with customer reviews above 4+, add 2 pieces to the cart in amazon",https://www.amazon.com,mind_2_web_train,transactional_commerce,commerce_platform,['add_to_cart']
yD3SHg-3yHxUm0FUanCrg,Find Dota 2 game and add all DLC to cart in steam,https://store.steampowered.com,mind_2_web_train,transactional_commerce,commerce_platform,['add_to_cart']
fsUmYceXQAE1lUfA183e7,Buy the number 4 ranked board game on the geekmarket in boardgamegeek,https://boardgamegeek.com,mind_2_web_train,transactional_commerce,commerce_platform,['checkout']
BjbRT3SNSF2SxNhAtSXVj,Find organic dog food and add it to the cart in target,https://www.target.com,mind_2_web_train,transactional_commerce,commerce_platform,['add_to_cart']
ZRq7EDGfNJ5NBmy9hTgJG,Find spare parts with part number 105307 and add 2 of them to cart in ikea,https://www.ikea.com,mind_2_web_train,transactional_commerce,commerce_platform,['add_to_cart']
X5m9qkSNQOIWI3CG09YpA,Track an order using the order number of 456481897 and phone number of 8984486417 in menards,https://www.menards.com,mind_2_web_train,transactional_commerce,commerce_platform,['track_order']
Wv_JGFcLQjNeixfgvi_LN,Find a men's UA outlet T-shirt of XL size and add to cart in underarmour,https://www.underarmour.co.uk,mind_2_web_train,transactional_commerce,commerce_platform,['add_to_cart']
UzNfnbCsQU9VbyuaUY9ID,"Buy a $25 digital gift card for Tim Stebee, whose email address is scisoorbros@gmail.com. Fill in sender name Jeerimiah Waton in gamestop",https://www.gamestop.com,mind_2_web_train,transactional_commerce,commerce_platform,['checkout']
UoI3S1NseUPgO195KNgml,"Find a pair of mens running shoes in black, size 7 extra wide, 4+ stars and under $50 and add them to my cart in amazon",https://www.amazon.com,mind_2_web_train,transactional_commerce,commerce_platform,['add_to_cart']
T6OXnL81KmfZhInorCJ7g,"Add $100 Google Play Gift Card to cart and recipient email address as abc@abc.com, user's name as Micheal in Amazon",https://www.amazon.com,mind_2_web_train,transactional_commerce,commerce_platform,['add_to_cart']
SWZ9bPJuEfhVn3zj7Aemm,Renew a existing KOA rewards account with the rewards number 1000000001 e postal code 10023 in koa,https://koa.com,mind_2_web_train,membership_services,commerce_platform,['start_membership']
SDkn6SOxhr4DMv4seBepo,Add zyrtec to the cart for pickup at the nearest  CVS to zip code 90028 in cvs,https://www.cvs.com,mind_2_web_train,transactional_commerce,commerce_platform,['add_to_cart']
rPr8bIONPSXD0LlKoN4gF,Add two $50 playstation store gift cards to cart in gamestop,https://www.gamestop.com,mind_2_web_train,transactional_commerce,commerce_platform,['add_to_cart']
QVzXOEzKiGiA5j28d644i,Upgrade the count of the current SSD in my cart to 10 in newegg,https://www.newegg.com,mind_2_web_train,transactional_commerce,commerce_platform,['update_cart']
pIWJqqtx19A-qKymEDRYB,Add a set of sonoma bath towels to the cart and apply a coupon code for free shipping in kohls,https://www.kohls.com,mind_2_web_train,transactional_commerce,commerce_platform,"['add_to_cart', 'apply_coupon']"
ODAiMd9KUjC7Jv7eodHqp,Add a pack of toilet paper and a bottle of laundry detergent to your Amazon cart with the lowest total price in amazon,https://www.amazon.com,mind_2_web_train,transactional_commerce,commerce_platform,['add_to_cart']
NqIhBKgfMnt9rIGrSuSdK,"Buy a pop rock album CD from the United Kingdom that was released in 2016, is between £15 and £20 and in perfect condition in discogs",https://www.discogs.com,mind_2_web_train,transactional_commerce,commerce_platform,['checkout']
nej7uc83sGQeppBxH8WOh,Add the ghost frame to your avatar using steam points in store.steampowered,https://store.steampowered.com,mind_2_web_train,transactional_commerce,commerce_platform,['update_profile']
KBZ6-_jZXfSqzE--JG56z,Buy the cheapest copy of King of Tokyo on GeekMarket that ships to Canada in boardgamegeek,https://boardgamegeek.com,mind_2_web_train,transactional_commerce,commerce_platform,['checkout']
hknt-JMtNFsM7--Ltpmth,Search for Gingerbread cakes recipe and add ingredients to cart in instacart,https://www.instacart.com,mind_2_web_train,transactional_commerce,commerce_platform,['add_to_cart']
gNTYI3w9lZ873T4b3TDUV,"Find the cheapest Samsung-made and larger than 11-inch screen Android tablet, in the price range of 200 to 300 dollars and add it to the cart in newegg",https://www.newegg.com,mind_2_web_train,transactional_commerce,commerce_platform,['add_to_cart']
GHJZbAame0r4eMAutWlIc,Browse for trending women sports bras and add 3 trending black bras to Wishlist in underarmour,https://www.underarmour.com,mind_2_web_train,transactional_commerce,commerce_platform,['add_to_list']
ExAjHuxov2758pk_-H6nk,"Find a multi-purpose painting tool available for pick up at zip 44240, if the brand Red Devil is available, add the cheapest one to the wishlist and view my complete wish list in menards",https://www.menards.com,mind_2_web_train,transactional_commerce,commerce_platform,"['add_to_list', 'view_list']"
DKVD-ophgCKtDzTA6T65R,Find a Blue iPhone 12 Pro 128gb and add to cart in ebay,https://www.ebay.com,mind_2_web_train,transactional_commerce,commerce_platform,['add_to_cart']
C42_KpE7T8UhZTmGhVLi3,"Add a new address to the account. The address is 2983 Marietta Street,  APT 2. Business name is Buck in instacart",https://www.instacart.com,mind_2_web_train,transactional_commerce,commerce_platform,['update_contact_information']
7zz6HbWiPfZ8dhCo_5CsY,Add Western Digital internal SSD with 1TB storage and 8GB Ram DDR to the cart in newegg,https://www.newegg.com,mind_2_web_train,transactional_commerce,commerce_platform,['add_to_cart']
4SfHe_KvpzaITQzGO6MVB,Add a smartwatch to the cart that is compatible with an iPhone in amazon,https://www.amazon.com,mind_2_web_train,transactional_commerce,commerce_platform,['add_to_cart']
3RLzqsxoItEoOZlm3dwjy,Add a e-gift card to bag of $100 for recipient John and email address abc@test.com from buckeye.foobar@gmail.com with message gift card on underarmour,https://www.underarmour.com,mind_2_web_test,transactional_commerce,commerce_platform,['add_to_cart']
Bvywj9SzJD5eYeZrtYY3m,"Add the first wireless headphones to your cart with a budget of $100 or less, that has an active noise-cancelling feature on amazon",https://www.amazon.com,mind_2_web_test,transactional_commerce,commerce_platform,['add_to_cart']
DAabNkqk7gX0dHEcC0sbd,"Find 32"" Curved monitor and add the third one to the wish list on newegg",https://www.newegg.com,mind_2_web_test,transactional_commerce,commerce_platform,['add_to_list']
FtCFJNz4WhhewmINgVRu5,Select a E-Gift card and add to cart with Best Wishes as a message. Send it to James Smith with email abc@abc.com on rei,https://www.rei.com,mind_2_web_test,transactional_commerce,commerce_platform,['add_to_cart']
fuEsXYy-LGfFLHqNw9zWt,Add a front load washing machine under $800 to the cart on menards.,https://www.menards.com,mind_2_web_test,transactional_commerce,commerce_platform,['add_to_cart']
p5Rh2uknkoIwgRqseo6wB,Find bluetooth vertical mouse with most reviews and add two to my shopping cart on newegg.,https://www.newegg.com,mind_2_web_test,transactional_commerce,commerce_platform,['add_to_cart']
QiIBNsu__PJ_wBbTxAzvf,Add a Swivel vacuum under $150 to my cart on menards.,https://www.menards.com,mind_2_web_test,transactional_commerce,commerce_platform,['add_to_cart']
wi4SWrbpRBBQkq5cR9bmD,Create a new list called Bathroom Remodeling on menards,https://www.menards.com,mind_2_web_test,transactional_commerce,commerce_platform,['create_list']
Amazon--5,Find a Blue iPhone 12 Pro 128gb and add to cart.,https://www.amazon.com,web_voyager,transactional_commerce,commerce_platform,['add_to_cart']
Amazon--20,Search for a wireless ergonomic keyboard with backlighting and a rating of at least 4 stars. The price should be between $40 to $60. Save the product with the 500+ customer reviews.,https://www.amazon.com,web_voyager,transactional_commerce,commerce_platform,['rate_item']
722,"Write and submit a 4-star review for ""Chipotle Mexican Grill"" praising the customizable bowl options.
Only use http://grubhub.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site.",https://www.grubhub.com,webbench_food_and_dining,food_services,commerce_platform,['create_review']
