ID,Starting URL,Category,Task
299,https://www.crunchbase.com,CREATE,"Log in to Crunchbase and create a new list titled ""Tech Unicorns,"" then add the companies Uber, Airbnb, and Stripe to the list.
Only use http://crunchbase.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
300,https://www.crunchbase.com,CREATE,"Create a custom alert for new funding rounds in the Fintech sector with a notification threshold of $50M, and set the alert delivery to email.
Only use http://crunchbase.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
302,https://www.crunchbase.com,CREATE,"Build a watchlist titled ""Emerging AI Startups"" by selecting and saving at least 5 companies from recent search results.
Only use http://crunchbase.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
303,https://www.crunchbase.com,CREATE,"Set up a collaborative workspace for renewable energy startups by adding at least 3 companies to the workspace.
Only use http://crunchbase.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
304,https://www.crunchbase.com,CREATE,"Submit a data correction request on the profile of Acme Corp to update its headquarters address to ""San Francisco, CA.""
Only use http://crunchbase.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
305,https://www.crunchbase.com,CREATE,"Create a custom dashboard in your Crunchbase Pro account by selecting key metrics for tracking companies in the Biotech sector.
Only use http://crunchbase.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
306,https://www.crunchbase.com,CREATE,"Add ""Tesla Inc."" to your followed companies list so you receive future updates on funding and corporate changes.
Only use http://crunchbase.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
307,https://www.crunchbase.com,CREATE,"Initiate the API key generation process in your Crunchbase account and record the new key details for secure storage.
Only use http://crunchbase.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
308,https://www.crunchbase.com,CREATE,"Create a search for companies in Los Angeles and filter for companies in the E-commerce sector and save the updated query.
Only use http://crunchbase.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
309,https://www.crunchbase.com,DELETE,"Log in to your Crunchbase account, create a watchlist called ""AI Startups 3"", and delete the entire list, confirming its removal.
Only use http://crunchbase.com to achieve the task. Don't go to any other site. The task is achievable with just navigation from this site."
